dbn,school_name,beds,location_name,ncessch,combokey
17K394,M.S. K394,331700010394,M.S. K394,360009504883,362058004883
17K397,P.S. 397 Foster-Laurie,331700010397,P.S. 397 Foster-Laurie,360009502832,362058002832
17K398,P.S. 398 Walter Weaver,331700010398,P.S. 398 Walter Weaver,360009502833,362058002833
17K399,P.S. 399 Stanley Eugene Clark,331700010399,P.S. 399 Stanley Eugene Clark,360009504359,362058004359
17K408,Academy of Hospitality and Tourism,331700011408,Academy of Hospitality and Tourism,360009505885,362058005885
17K484,Ronald Edmonds Learning Center II,331700010484,Ronald Edmonds Learning Center II,360009505870,362058005870
17K489,W.E.B. Dubois Academic High School,331700011489,W.E.B. Dubois Academic High School,360009504495,362058004495
17K524,International High School at Prospect Heights,331700011524,International High School at Prospect Heights,360009505712,362058005712
17K528,The High School for Global Citizenship,331700011528,The High School for Global Citizenship,360009505713,362058005713
17K531,"School for Human Rights, The",331700011531,"School for Human Rights, The",360009505709,362058005709
17K532,New Bridges Elementary,331700010532,New Bridges Elementary,360009506409,362058099818
17K533,School for Democracy and Leadership,331700011533,School for Democracy and  Leadership,360009505710,362058005710
17K537,High School for Youth and Community Development at Erasmus,331700011537,High School for Youth and Community Development at,360009505714,362058005714
